first_disease,second_disease,r.score
"""3q27.3 microdeletion syndrome""","""DYRK1A-related intellectual disability syndrome""",0.9951100244498777
"""DYRK1A-related intellectual disability syndrome""","""3q27.3 microdeletion syndrome""",0.9951100244498777
"""3q27.3 microdeletion syndrome""","""DYRK1A-related intellectual disability syndrome""",0.9951100244498777
"""3q27.3 microdeletion syndrome""","""DYRK1A-related intellectual disability syndrome""",0.9951100244498777
"""DYRK1A-related intellectual disability syndrome""","""3q27.3 microdeletion syndrome""",0.9951100244498777
"""DYRK1A-related intellectual disability syndrome""","""3q27.3 microdeletion syndrome""",0.9951100244498777
"""1p36 deletion syndrome""","""8p23.1 microdeletion syndrome""",0.9949109414758269
"""8p23.1 microdeletion syndrome""","""1p36 deletion syndrome""",0.9949109414758269
"""1p36 deletion syndrome""","""8p23.1 microdeletion syndrome""",0.9949109414758269
"""8p23.1 microdeletion syndrome""","""1p36 deletion syndrome""",0.9949109414758269